sku	master_stl	image	kind	dimensions
PL-NAME-KEY	PL-NAME-KEY_MASTER_v1.stl	pl-name-key.svg	keychain	40x18x4mm
PL-BAG-TAG	PL-BAG-TAG_MASTER_v1.stl	pl-bag-tag.svg	tag	55x35x3mm
PL-FLEXI-DINO	PL-FLEXI-DINO_MASTER_v1.stl	pl-flexi-dino.svg	flexi	90x30x25mm
PL-CLICKER	PL-CLICKER_MASTER_v1.stl	pl-clicker.svg	clicker	35x35x18mm
PL-PEN-CUP	PL-PEN-CUP_MASTER_v1.stl	pl-pen-cup.svg	cup	70x70x90mm
PL-ORBIT-CLIP	PL-ORBIT-CLIP_MASTER_v1.stl	pl-orbit-clip.svg	clip	50x30x20mm
PL-PHONE-STAND	PL-PHONE-STAND_MASTER_v1.stl	pl-phone-stand.svg	stand	80x70x60mm
PL-DESK-ARC	PL-DESK-ARC_MASTER_v1.stl	pl-desk-arc.svg	arc	180x40x120mm
PL-NAME-RIDGE	PL-NAME-RIDGE_MASTER_v1.stl	pl-name-ridge.svg	ridge	120x25x35mm
PL-LITH-FRAME	PL-LITH-FRAME_MASTER_v1.stl	pl-lith-frame.svg	frame	100x10x130mm
PL-MINI-POT	PL-MINI-POT_MASTER_v1.stl	pl-mini-pot.svg	pot	75x75x70mm
PL-HEART-BOX	PL-HEART-BOX_MASTER_v1.stl	pl-heart-box.svg	box	70x65x35mm
PL-CAKE-TOP	PL-CAKE-TOP_MASTER_v1.stl	pl-cake-top.svg	topper	100x8x120mm
PL-ORNAMENT	PL-ORNAMENT_MASTER_v1.stl	pl-ornament.svg	ornament	60x10x70mm
PL-PET-TAG	PL-PET-TAG_MASTER_v1.stl	pl-pet-tag.svg	pet	40x30x3mm
PL-BOOKMARK	PL-BOOKMARK_MASTER_v1.stl	pl-bookmark.svg	bookmark	140x30x2mm
PL-HEX-HOOK	PL-HEX-HOOK_MASTER_v1.stl	pl-hex-hook.svg	hook	50x30x40mm
PL-SOAP-DISH	PL-SOAP-DISH_MASTER_v1.stl	pl-soap-dish.svg	dish	110x70x15mm
PL-CTRL-STAND	PL-CTRL-STAND_MASTER_v1.stl	pl-ctrl-stand.svg	ctrl	120x80x70mm
PL-FLEX-COIL	PL-FLEX-COIL_MASTER_v1.stl	pl-flex-coil.svg	coil	70x45x45mm
